"pid","cond","trial","base","tax","the","unr1","unr2","unr3","sel1","sel2","seltype1","seltype2","rt","tax_sel","the_sel","unr_sel"
4751,"sextet_rand",50,"PENGUIN","GOOSE","ICE","VOLCANO","HEAD","BRICK","PENGUIN","ICE","BASE","THEMATIC",2.190524857,0,1,0
4751,"sextet_rand",51,"GARLIC","ONION","VAMPIRE","HOUSE","FOOT","CODE","GARLIC","VAMPIRE","BASE","THEMATIC",3.74984208203,0,1,0
4751,"sextet_rand",52,"CAPTAIN","PILOT","SHIP","EAR","BENCH","FREEZER","CAPTAIN","SHIP","BASE","THEMATIC",4.95854835995,0,1,0
4751,"sextet_rand",53,"SPIDER","BEE","WEB","PEPPER","SHED","TOILET","WEB","SPIDER","THEMATIC","BASE",5.68565224417,0,1,0
4751,"sextet_rand",54,"HAPPY","SAD","SMILE","ROOF","SEED","KEY","HAPPY","SMILE","BASE","THEMATIC",10.6095010322,0,1,0
4751,"sextet_rand",55,"FOOTBALL","BASEBALL","QUARTERBACK","CLOUD","PLANT","NECKLACE","FOOTBALL","QUARTERBACK","BASE","THEMATIC",12.3995337282,0,1,0
4751,"sextet_rand",56,"COMPUTER","TABLET","MOUSE","ATHLETE","COUCH","SALON","TABLET","COMPUTER","TAXONOMIC","BASE",5.06214782974,1,0,0
4751,"sextet_rand",57,"PENCIL","PEN","ERASER","FLUTE","MINT","SHEEP","PENCIL","PEN","BASE","TAXONOMIC",6.72812588146,1,0,0
4751,"sextet_rand",58,"DOG","CAT","BONE","POND","HOOD","QUEEN","CAT","DOG","TAXONOMIC","BASE",4.08928058276,1,0,0
4751,"sextet_rand",59,"CHISEL","KNIFE","SCULPTURE","HAMSTER","BOTTLE","MIRROR","SCULPTURE","CHISEL","THEMATIC","BASE",10.9779047301,0,1,0
4759,"sextet_rand",1,"ROBBERY","TREASON","BANK","STEW","TUB","SHORE","ROBBERY","BANK","BASE","THEMATIC",13.5634424059,0,1,0
4759,"sextet_rand",2,"SNOW","RAIN","SLED","CEMETARY","WORK","NOVEL","SNOW","SLED","BASE","THEMATIC",7.16924728698,0,1,0
4759,"sextet_rand",3,"COOKIE","BISCUIT","CHOCOLATE","PAGE","WAVE","FUR","COOKIE","CHOCOLATE","BASE","THEMATIC",3.59985558811,0,1,0
4759,"sextet_rand",4,"SHIP","CANOE","SAILOR","UMBRELLA","BANANA","CHAIR","SAILOR","SHIP","THEMATIC","BASE",5.63471506793,0,1,0
4759,"sextet_rand",5,"SPOON","LADLE","CEREAL","LION","TREE","STEREO","LADLE","SPOON","TAXONOMIC","BASE",5.00538614619,1,0,0
4759,"sextet_rand",6,"GARLIC","ONION","VAMPIRE","HOUSE","FOOT","CODE","ONION","GARLIC","TAXONOMIC","BASE",5.10706211201,1,0,0
4759,"sextet_rand",7,"CAKE","DONUT","CANDLE","BROCHURE","LAKE","DRUM","CAKE","DONUT","BASE","TAXONOMIC",5.56059654491,1,0,0
4759,"sextet_rand",8,"TRUCK","BUS","TRAILER","CLIMATE","CACTUS","CLUB","BUS","TRUCK","TAXONOMIC","BASE",3.51569047388,1,0,0
4759,"sextet_rand",9,"HAPPY","SAD","SMILE","ROOF","SEED","KEY","HAPPY","SMILE","BASE","THEMATIC",3.40448901798,0,1,0
4759,"sextet_rand",10,"TOOTHBRUSH","COMB","FLOSS","CAKE","CUP","GLASSES","TOOTHBRUSH","FLOSS","BASE","THEMATIC",9.65344689851,0,1,0
4759,"sextet_rand",11,"PANTS","DRESS","POCKET","ICE","TEETH","DOG","DRESS","PANTS","TAXONOMIC","BASE",9.30579630641,1,0,0
4759,"sextet_rand",12,"POLICE","FIREMAN","HANDCUFFS","CARAVAN","CRAB","LAUNDRY","POLICE","FIREMAN","BASE","TAXONOMIC",5.31772468844,1,0,0
4759,"sextet_rand",13,"CITY","VILLAGE","AIRPORT","WHALE","NECK","CABINET","VILLAGE","CITY","TAXONOMIC","BASE",13.313485362,1,0,0
4759,"sextet_rand",14,"CHAIR","SOFA","LEGS","BREAD","BALL","KEYBOARD","CHAIR","SOFA","BASE","TAXONOMIC",6.24915155534,1,0,0
4759,"sextet_rand",15,"SHOE","GLOVE","FOOT","WALL","CARD","TIGER","FOOT","SHOE","THEMATIC","BASE",5.43764283517,0,1,0
4759,"sextet_rand",16,"COCONUT","ORANGE","BEACH","CYMBAL","SOCIETY","ROD","ORANGE","COCONUT","TAXONOMIC","BASE",10.5256155631,1,0,0
4759,"sextet_rand",17,"MILK","LEMONADE","COW","GUITAR","LEAF","WINDOW","COW","MILK","THEMATIC","BASE",5.59101938172,0,1,0
4759,"sextet_rand",18,"NEEDLE","PIN","THREAD","WAX","HYDRANT","WRIST","NEEDLE","THREAD","BASE","THEMATIC",8.20158965637,0,1,0
4759,"sextet_rand",19,"RECEPTIONIST","HOSTESS","TELEPHONE","PARK","HAND","STRING","TELEPHONE","RECEPTIONIST","THEMATIC","BASE",6.32682541821,0,1,0
4759,"sextet_rand",20,"FLY","ANT","WINGS","CEREAL","BUSINESS","CONCRETE","FLY","ANT","BASE","TAXONOMIC",9.07883723602,1,0,0
4759,"sextet_rand",21,"RABBI","PASTOR","TEMPLE","DRIVEWAY","GLOVES","APPLE","RABBI","PASTOR","BASE","TAXONOMIC",8.34299643738,1,0,0
4759,"sextet_rand",22,"WAITRESS","STEWARDESS","RESTAURANT","SWAN","BEACH","CALCIUM","WAITRESS","RESTAURANT","BASE","THEMATIC",14.2620546017,0,1,0
4759,"sextet_rand",23,"CROUTONS","BAGEL","SALAD","METAL","SHARK","SPOT","SALAD","CROUTONS","THEMATIC","BASE",2.80094400745,0,1,0
4759,"sextet_rand",24,"SAXOPHONE","HARP","JAZZ","SODA","HAIR","PILOT","HARP","SAXOPHONE","TAXONOMIC","BASE",4.34508282826,1,0,0
4759,"sextet_rand",25,"RIVER","LAKE","RAPIDS","GLASS","BUDGET","FEATHER","RIVER","LAKE","BASE","TAXONOMIC",11.7583918303,1,0,0
4759,"sextet_rand",26,"SURGEON","BUTCHER","KIDNEY","PENGUIN","MOVIE","HOUSE","SURGEON","BUTCHER","BASE","TAXONOMIC",13.0207122797,1,0,0
4759,"sextet_rand",27,"SILVER","GOLD","BULLET","STAIRS","BALLOON","LIBRARY","GOLD","SILVER","TAXONOMIC","BASE",7.14324023589,1,0,0
